number,country,n,i,o,rgdpw60,rgdpw85,gdpgrowth,popgrowth,i_y,school,rgdpw23,gdpgrowth_23,popgrowth_23,i_y_23,school_23
97,Haiti,1,1,0,1096,1237,1.8,1.3,7.1,1.9,1209.1375884119007,2.13556589349555,1.9764230800253912,30.361288075800978,3.45956052095711
98,Honduras,1,1,0,1430,1822,4,3.1,13.8,3.7,2129.317434581194,3.721906215346782,3.068504799816174,17.717662767972804,8.471005498182272
99,Jamaica,1,1,0,2726,3080,2.1,1.6,20.6,11.2,2911.820027021765,1.4382182293187107,1.3320969602866661,18.111681635491554,15.39295455066836
100,Mexico,1,1,0,4229,7380,5.5,3.3,19.5,6.6,7805.10977434992,3.4890456272948844,2.487268009907795,18.910638499073688,15.999803757941507
101,Nicaragua,1,1,0,3195,3978,4.1,3.3,14.5,5.8,3397.0088524520634,2.696675684608807,2.596785422076353,20.390684856101863,9.160077609573536
102,Panama,1,1,0,2423,5021,5.9,3,26.1,11.6,15212.722890664065,5.607530191680921,2.5724063360234695,23.002686834661297,13.248854298316058
103,Trinidad and Tobago,1,1,0,9253,11285,2.7,1.9,20.4,8.8,22476.704086348116,2.625743457180829,1.190108437589088,13.47915430378635,11.938657950677584
104,United States,1,1,1,12362,18988,3.2,1.5,21.1,11.9,39601.79409750664,3.010005280243533,1.1238505129242737,24.15407479275018,11.5500192744556
105,Argentina,1,1,0,4852,5533,2.1,1.5,25.3,5,7833.583539739017,2.109619435483401,1.3361593154647133,14.606564946006987,12.161691045408016
106,Bolivia,1,1,0,1618,2055,3.3,2.4,13.3,4.9,2615.3763648314934,2.9714455530921002,2.189530069107981,15.77433306956664,17.58599850133245
107,Brazil,1,1,0,1842,5563,7.3,2.9,23.2,4.7,5574.083631555421,3.9529712549446483,2.141875995339393,19.147332431748513,15.733155029139255
108,Chile,1,1,0,5189,5533,2.6,2.3,29.7,7.7,18778.609780017337,3.8112045405193085,1.7133327693344302,19.380793836899098,12.821565862737257
109,Colombia,1,1,0,2672,4405,5,3,18,6.1,6727.013753296534,3.9864216571786626,2.4735492833487305,21.04378051590175,15.18546902743961
110,Ecuador,1,1,0,2198,4504,5.7,2.8,24.4,7.2,5356.627148740207,4.0770533027886025,2.6158137725998287,28.299614961724735,15.448416818080622
111,Guyana,0,0,0,2761,NA,1.1,NA,32.400002,11.7,69803.82855870461,5.218683241922872,1.0015437032189434,20.626913480184697,15.967981336011428
112,Paraguay,1,1,0,1951,3914,5.5,2.7,11.7,4.4,5523.419493236127,4.20588291844306,2.498713888317061,20.85529742762447,10.714939219263917
113,Peru,1,1,0,3310,3775,3.5,2.9,12,8,6310.681466323926,3.371250344181531,2.317844924680035,17.37591815181077,12.973609727811407
114,Surinam,0,0,0,3226,NA,4.5,NA,19.4,8.1,25010.991333269903,1.7660884207256977,1.8314470886736434,27.894031987697986,14.220761039114487
115,Uruguay,1,1,0,5119,5495,0.9,0.6,11.8,7,15426.263899189897,2.2710381142912572,0.4958873624938187,17.77084813220426,14.415336616873992
116,Venezuela,1,1,0,10367,6336,1.9,3.8,11.4,7,3950.4981068361185,0.8215912007715431,2.37746241495167,23.96962514631014,10.96537210925558
117,Australia,1,1,1,8440,13409,3.8,2,31.5,9.8,24572.412322952623,3.3475783467119102,1.6093219061759312,27.767009823583066,10.959633530324538
118,Fiji,0,0,0,3634,NA,4.2,NA,20.6,8.1,7773.248907129527,3.0028845433922813,1.7672026824314235,20.547107711900026,17.56641966901216
119,Indonesia,1,1,0,879,2159,5.5,1.9,13.9,4.1,5555.311567667208,5.151941056530696,2.1192131717417295,19.502405822277076,10.064445608671583
120,New Zealand,1,1,1,9523,12308,2.7,1.7,22.5,11.9,20481.950357163703,2.6729512682116763,1.4324043076788362,22.593786939978603,14.813947628308572
121,Papua New Guinea,1,0,0,1781,2544,3.5,2.1,16.2,1.5,NA,NA,NA,NA,NA
