number,country,n,i,o,rgdpw60,rgdpw85,gdpgrowth,popgrowth,i_y,school,rgdpw23,gdpgrowth_23,popgrowth_23,i_y_23,school_23,ln_pl_i_23,alpha_23,g_meas_23,delta_23,lngd_meas_23
26,Morocco,1,1,0,1030,2348,5.8,2.5,8.3,3.6,4302.408464268017,4.612229241917021,2.265067038910451,19.910789356799803,9.09933518385235,-0.9989572753921702,0.4860127214342356,0.007465576435484733,0.04213175529730507,-2.6276506046640473
27,Mozambique,1,0,0,1420,1035,1.4,2.7,6.1,0.7,4582.045002742794,4.410335798563381,2.4867596772967238,20.535750826820735,3.084953995635204,-0.7837489614433935,0.5285155046731235,-4.0860788401198e-4,0.05025062576169148,-2.594146484943123
28,Niger,1,0,0,539,841,4.4,2.6,10.3,0.5,381.7147695332962,2.695977551447748,3.2599716631070974,16.33821020368487,2.4178044131536365,-1.3403232669274516,0.5199145893566312,-6.476017795450373e-4,0.03374451250419952,-2.7227076888164303
29,Nigeria,1,1,0,1055,1186,2.8,2.4,12,2.3,1600.7857190635339,3.286024580011304,2.6047022710838474,39.79756117332726,7.21681019153728,-0.5466746091601968,0.6789092230610548,-0.0070365729150129175,0.02946598210837692,-3.0266775392653997
30,Rwanda,1,0,0,460,696,4.5,2.8,7.9,0.4,1239.2403885160077,4.4187897984015345,2.789072080360522,7.621768908575175,7.265287781376255,-0.7893072515001432,0.24158738553523995,0.007316175244127754,0.054806524305604405,-2.407796504731332
31,Senegal,1,1,0,1392,1450,2.5,2.3,9.6,1.7,1512.2938708346924,2.992253496376307,2.856840662406057,11.212178977439182,6.825371232045596,-0.892043673373896,0.5100891278125348,-0.01150227723680064,0.040851613855920746,-2.848731495006642
32,Sierra Leone,1,0,0,511,805,3.4,1.6,10.9,1.7,4929.556725607909,3.395310960159059,2.1199955597519082,5.474678486112565,7.781694247580677,-0.34536893041663913,0.4564512128179723,-0.0033317889183728244,0.04837510752536002,-2.7144213407108704
33,Somalia,1,0,0,901,657,1.8,3.1,13.8,1.1,2758.728846306772,4.222181989678853,2.933005080007689,19.17464152254441,1.6596606769326956,-1.1009392275273064,NaN,NA,NaN,NA
34,S. Africa,1,1,0,4768,7064,3.9,2.3,21.6,3,6008.946338562619,2.8824416284447985,2.5053720558412484,18.578895065002143,13.543370361738514,-1.1825555005831865,0.4208348123356701,0.0018432807259749495,0.04482609580736607,-2.6349424480800567
35,Sudan,1,0,0,1254,1038,1.8,2.6,13.2,2,4619.358178567864,3.7078301938691993,3.0490929716640025,12.389627754412315,8.577562188115934,-1.323318153212445,0.27529071436987984,-2.654199074215713e-4,0.03735401191645198,-2.6944502748789168
36,Swaziland,0,0,0,817,NA,7.2,NA,17.7,3.7,14653.919002309915,4.604473309845969,2.3846373367419904,12.268600833636748,10.441243755696949,-0.8095177981951979,0.3729982281273061,0.010822409100243124,0.06329495128658083,-2.3231579325342513
37,Tanzania,1,1,0,383,710,5.3,2.9,18,0.5,1063.8003595102662,4.804749889340654,3.1190069620547156,20.242013165261596,2.6302567525355647,-1.1757157256477953,0.5214671348221598,-0.0018686005374013437,0.040937076380942024,-2.655573334549358
38,Togo,1,0,0,777,978,3.4,2.5,15.5,2.9,1566.414658500561,4.047091620793153,2.895608168027275,20.600630523404106,8.008363301933239,-1.3197489551392985,0.39815042032436887,2.3831080020775275e-4,0.04133738792734221,-2.6516918848108024
39,Tunisia,1,1,0,1623,3661,5.6,2.4,13.8,4.3,7618.730616098131,4.585766258248891,2.049959116951361,16.35740183992312,12.247307238386028,-1.0524957855686607,0.46434806520119276,0.007326655962837769,0.04454770794836805,-2.625908780765298
40,Uganda,1,0,0,601,667,3.5,3.1,4.1,1.1,1554.2212684222245,4.619511668812404,3.0535300822497113,15.653739252593372,2.3957105751647965,-1.050251124000984,NaN,NA,0.0566842535044998,NA
41,Zaire,1,0,0,594,412,0.9,2.4,6.5,3.6,248.80053646017603,1.6057662888127933,3.0189990550013146,17.210448416881263,7.001660122155537,-1.2858732916807794,NaN,NA,0.022732324519893155,NA
42,Zambia,1,1,0,1410,1217,2.1,2.7,31.7,2.4,1650.4270286689846,3.4448492217869386,3.1866512341675257,14.50809454254341,3.7369663403196336,-0.8159476225008677,0.5736937667243179,0.006628772007382766,0.03964765192358755,-2.5492156129861483
43,Zimbabwe,1,1,0,1187,2107,5.1,2.8,21.1,4.4,2068.5679868817083,3.426802101555304,2.518967225964097,10.934023606569102,8.964089569318475,1.0566702009162832,0.4109694240614774,0.00547478508395427,0.03904235316440463,-2.66345725425313
44,Afghanistan,0,0,0,1224,NA,1.6,NA,6.9,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Bahrain,0,0,0,NA,NA,NA,NA,30,12.1,73699.82981907469,3.955477012752495,4.217834078389693,35.26630393332905,11.492484523609235,-0.9843127622985417,0.6845007444973343,-0.023865277930098405,0.03300623650904055,-2.969688391649815
46,Bangladesh,1,1,0,846,1221,4,2.6,6.8,3.2,3081.460720470882,4.314641527682239,2.1961127399016123,14.337888735462911,10.489235508869768,-1.4669034257728462,NaN,NA,0.04223358188755811,NA
47,Burma,1,1,0,517,1031,4.5,1.7,11.4,3.5,12086.413053136866,5.400801802661781,1.7644113487359503,11.473102433486813,6.9775376512101035,-1.1415433384442115,NaN,NA,0.07153854939726093,NA
48,Hong Kong,1,1,0,3085,13372,8.9,3,19.9,7.2,29315.002175837973,5.408796146968697,1.708129342570519,23.104913788847632,8.36792476723913,-0.8731549345948613,0.5159413465298713,0.006843511900930244,0.027680760773364458,-2.96412574215715
